scenario_key,scenario_name,turn,code,name,population_weight,energy_security,food_security,compute_access,distribution_capacity,social_cohesion,cash_stability,capital_surplus,labor_displacement,inequality_pressure,sanction_exposure,conflict_risk,climate_stress,alliance_support,war_burden,military_posture,tax_burden,housing_pressure,youth_unemployment,policing_capacity,elite_cohesion,economic_stress,legitimacy_stress,mobilization_capacity,elite_fragmentation,communal_polarization,domestic_burden,domestic_stage,domestic_stage_index,grievance_pressure,protest_pressure,riot_pressure,civil_conflict_pressure,domestic_diversion_incentive,survival_pressure,war_pressure,gray_zone_probability,proxy_probability,limited_war_probability,likely_mode,adaptation_absorption,structure_credit_gain,capital_share_gain,displacement_bump,displacement_gap_after_buffer,war_drag,M,L,S,dependency_risk,displacement_gap,horizon_turns,support_needed,coercion_capacity,repression_mismatch,relief_support,trigger_bonus,armed_capacity,escalation_probability,cooldown_probability
fracture,High automation / low adaptation,4,SAU,Saudi Arabia,0.03,0.96,0.28,0.58,0.3849,0.531,0.6993,0.773,0.2748,0.3782,0.18,0.379,0.43,0.6083,0.0,0.0641,0.3004,0.455,0.2136,0.6093,0.6826,0.2831,0.3094,0.3712,0.3155,0.3713,0.0378,stable,0,0.2111,0.1753,0.2623,0.1822,0.2661,0.0,0.0,0.0,0.0,0.0,none,0.0166,0.0112,0.0015,0.04,0.2455,0.0,0.6411,0.2805,0.4843,0.3335,0.0,7.29,0.3509,0.6079,0.1346,0.0066,0.0412,0.4561,0.1661,0.168
fracture,High automation / low adaptation,4,RUS,Russia,0.04,0.8763,0.74,0.52,0.2437,0.443,0.4491,0.5998,0.278,0.5114,0.7931,0.562,0.26,0.2639,0.0266,0.1677,0.2863,0.4544,0.2472,0.6246,0.428,0.3525,0.515,0.3122,0.6002,0.5326,0.06,grievance,1,0.3132,0.2471,0.4031,0.308,0.4216,0.2589,0.3927,0.4853,0.4381,0.0264,proxy,0.012,0.0075,0.0004,0.0432,0.2581,0.0101,0.5738,0.4046,0.3829,0.3031,0.0343,5.13,0.497,0.647,0.1978,0.0045,0.052,0.566,0.152,0.101
fracture,High automation / low adaptation,4,BRA,Brazil,0.05,0.79,0.91,0.54,0.3143,0.5042,0.5604,0.4701,0.2992,0.466,0.08,0.2571,0.38,0.4318,0.0,0.0378,0.2761,0.4066,0.2386,0.4036,0.4894,0.3215,0.3785,0.4188,0.4232,0.3628,0.085,grievance,1,0.2614,0.2341,0.3372,0.211,0.3194,0.0,0.0,0.0,0.0,0.0,none,0.0129,0.0088,0.0,0.0436,0.2775,0.0,0.6223,0.2677,0.4762,0.1445,0.0,7.17,0.3151,0.3966,0.385,0.005,0.0422,0.318,0.2122,0.1033
fracture,High automation / low adaptation,5,USA,United States,0.18,0.8186,0.88,0.97,0.4472,0.4941,0.6946,0.9705,0.4862,0.4439,0.1247,0.2499,0.22,0.7707,0.0051,0.0764,0.3057,0.4022,0.2707,0.6776,0.7475,0.3146,0.2814,0.5664,0.273,0.3663,0.02,stable,0,0.2096,0.2035,0.2702,0.1695,0.2582,0.0782,0.257,0.4139,0.1392,0.0041,gray_zone,0.0191,0.0292,0.0029,0.0682,0.435,0.0038,0.7787,0.2581,0.6015,0.1124,0.039,8.92,0.2139,0.6802,0.2524,0.0128,0.0198,0.5537,0.1649,0.19
fracture,High automation / low adaptation,5,CHN,China,0.18,0.68,0.7,0.78,0.4062,0.5446,0.6357,0.8955,0.4738,0.4852,0.449,0.4153,0.3,0.4651,0.0424,0.1661,0.3055,0.4472,0.2757,0.724,0.7042,0.3435,0.3411,0.4603,0.3681,0.4161,0.085,grievance,1,0.2404,0.2032,0.2982,0.2123,0.3042,0.1421,0.521,0.726,0.3273,0.1016,proxy,0.0182,0.026,0.0024,0.063,0.4271,0.0234,0.6846,0.3421,0.4863,0.1216,0.0675,6.86,0.3774,0.7312,0.1452,0.0116,0.0217,0.5795,0.1919,0.1767
fracture,High automation / low adaptation,5,EU,European Union,0.16,0.4382,0.8,0.84,0.597,0.5404,0.5735,0.8504,0.4379,0.3706,0.1882,0.2845,0.2,0.7907,0.0783,0.0793,0.3119,0.4331,0.2476,0.5958,0.703,0.3244,0.2603,0.5455,0.2743,0.3325,0.1008,protest,2,0.2123,0.2345,0.2698,0.1646,0.2935,0.0,0.0,0.0,0.0,0.0,none,0.0209,0.032,0.0021,0.0622,0.3829,0.0339,0.7109,0.2938,0.5299,0.2418,0.0,8.37,0.3214,0.5833,0.2947,0.0138,0.0231,0.4436,0.0909,0.1843
fracture,High automation / low adaptation,5,JPN,Japan,0.07,0.1722,0.4101,0.88,0.5568,0.618,0.5919,0.7877,0.4425,0.3536,0.1472,0.22,0.18,0.7732,0.0785,0.0748,0.3094,0.4911,0.2386,0.5744,0.6994,0.3234,0.2333,0.5559,0.2611,0.2843,0.02,stable,0,0.2009,0.2059,0.2534,0.141,0.241,0.0,0.0,0.0,0.0,0.0,none,0.0206,0.032,0.0016,0.061,0.3883,0.0434,0.6415,0.2797,0.485,0.3675,0.0,7.97,0.3413,0.5543,0.2859,0.0136,0.0237,0.4011,0.1578,0.1901
fracture,High automation / low adaptation,5,IND,India,0.19,0.4147,0.69,0.63,0.3457,0.4892,0.4522,0.4958,0.4091,0.5135,0.1,0.3409,0.34,0.5716,0.0072,0.0711,0.2852,0.4695,0.2789,0.525,0.5155,0.3812,0.3817,0.4575,0.4209,0.3921,0.1008,protest,2,0.2804,0.2713,0.3446,0.2394,0.3787,0.0,0.0,0.0,0.0,0.0,none,0.0137,0.0218,0.0,0.0525,0.3736,0.0059,0.5623,0.3271,0.4054,0.2638,0.0634,6.3,0.4541,0.5322,0.3174,0.009,0.022,0.4486,0.112,0.1177
fracture,High automation / low adaptation,5,SAU,Saudi Arabia,0.03,0.96,0.28,0.58,0.3869,0.5164,0.6712,0.7825,0.3148,0.3961,0.18,0.394,0.43,0.6046,0.0,0.0762,0.3007,0.4741,0.2196,0.6096,0.682,0.3005,0.3146,0.37,0.3197,0.3834,0.0317,stable,0,0.2186,0.1779,0.2682,0.1849,0.2747,0.0,0.0,0.0,0.0,0.0,none,0.0166,0.0252,0.0016,0.04,0.2714,0.0,0.6402,0.2932,0.4775,0.3346,0.0,7.19,0.3578,0.608,0.1453,0.0109,0.0112,0.4602,0.1724,0.1672
fracture,High automation / low adaptation,5,RUS,Russia,0.04,0.8763,0.74,0.52,0.2449,0.4297,0.4088,0.5935,0.3212,0.5316,0.8019,0.6043,0.26,0.2586,0.0374,0.2085,0.2872,0.4711,0.2587,0.6251,0.407,0.3746,0.5247,0.3121,0.615,0.5506,0.055,grievance,1,0.3253,0.2532,0.4154,0.3181,0.4344,0.2905,0.4032,0.4965,0.4532,0.0286,proxy,0.012,0.0167,0.0003,0.0432,0.2922,0.0184,0.5713,0.4252,0.3734,0.3054,0.0764,4.81,0.5379,0.6472,0.2155,0.0072,0.0266,0.5765,0.157,0.0982
