scenario_key,scenario_name,turn,code,name,population_weight,energy_security,food_security,compute_access,distribution_capacity,social_cohesion,cash_stability,capital_surplus,labor_displacement,inequality_pressure,sanction_exposure,conflict_risk,climate_stress,alliance_support,war_burden,military_posture,tax_burden,housing_pressure,youth_unemployment,policing_capacity,elite_cohesion,economic_stress,legitimacy_stress,mobilization_capacity,elite_fragmentation,communal_polarization,domestic_burden,domestic_stage,domestic_stage_index,grievance_pressure,protest_pressure,riot_pressure,civil_conflict_pressure,domestic_diversion_incentive,survival_pressure,war_pressure,gray_zone_probability,proxy_probability,limited_war_probability,likely_mode,adaptation_absorption,structure_credit_gain,capital_share_gain,displacement_bump,displacement_gap_after_buffer,war_drag,M,L,S,dependency_risk,displacement_gap,horizon_turns,support_needed,coercion_capacity,repression_mismatch,relief_support,trigger_bonus,armed_capacity,escalation_probability,cooldown_probability
complement,High automation / high adaptation,9,JPN,Japan,0.07,0.2277,0.42,0.88,0.6688,0.6483,0.5339,0.7815,0.6879,0.39,0.1463,0.1845,0.18,0.8087,0.0328,0.0572,0.3087,0.5368,0.0,0.5744,0.7135,0.3556,0.2289,0.5175,0.2619,0.2729,0.02,stable,0,0.2067,0.2037,0.2473,0.1337,0.2478,0.0,0.0,0.0,0.0,0.0,none,0.0834,0.1005,0.0075,0.0612,0.4965,0.0177,0.6791,0.3105,0.4979,0.2882,0.0191,8.42,0.3089,0.5543,0.2361,0.0647,0.0204,0.3924,0.1625,0.2184
complement,High automation / high adaptation,9,IND,India,0.19,0.4399,0.65,0.63,0.4638,0.5386,0.3838,0.5009,0.62,0.5772,0.1,0.3613,0.42,0.6207,0.0,0.0768,0.2829,0.5477,0.1308,0.5292,0.4915,0.4316,0.3844,0.4355,0.445,0.3905,0.02,stable,0,0.299,0.2544,0.3547,0.2472,0.3578,0.0,0.0,0.0,0.0,0.0,none,0.0574,0.0703,0.0,0.0527,0.4923,0.0,0.5932,0.3711,0.4093,0.2355,0.1562,6.3,0.4744,0.5339,0.2922,0.0545,0.0281,0.4537,0.2524,0.1293
complement,High automation / high adaptation,9,SAU,Saudi Arabia,0.03,0.96,0.28,0.58,0.4531,0.5344,0.604,0.7696,0.4746,0.4101,0.18,0.4236,0.43,0.6119,0.0,0.0909,0.3023,0.5241,0.023,0.6089,0.6821,0.326,0.3145,0.3374,0.3228,0.3851,0.055,grievance,1,0.2268,0.191,0.2684,0.1878,0.3003,0.0,0.0,0.0,0.0,0.0,none,0.0664,0.0781,0.0071,0.04,0.323,0.0,0.6505,0.3312,0.4671,0.3161,0.0215,7.08,0.3878,0.6078,0.1148,0.0423,0.0112,0.465,0.1118,0.1807
complement,High automation / high adaptation,9,RUS,Russia,0.04,0.88,0.74,0.52,0.2827,0.3986,0.2607,0.6105,0.4944,0.5834,0.8694,0.7432,0.26,0.2382,0.0069,0.2071,0.2892,0.527,0.1556,0.6261,0.3219,0.4347,0.5566,0.2892,0.6759,0.6076,0.0297,stable,0,0.3675,0.2624,0.46,0.3519,0.4562,0.396,0.2687,0.3519,0.2825,0.0132,proxy,0.0469,0.0505,0.002,0.0433,0.395,0.0058,0.5759,0.4922,0.352,0.2986,0.2117,4.02,0.6421,0.6476,0.2491,0.024,0.0362,0.6067,0.3374,0.0905
complement,High automation / high adaptation,9,BRA,Brazil,0.05,0.79,0.86,0.54,0.3929,0.4837,0.4383,0.4896,0.517,0.5354,0.08,0.3356,0.47,0.4535,0.0,0.0471,0.2786,0.4986,0.1234,0.4021,0.4526,0.3963,0.4002,0.3948,0.4539,0.4023,0.0312,stable,0,0.3005,0.2671,0.3684,0.2422,0.3753,0.0,0.0,0.0,0.0,0.0,none,0.0523,0.0619,0.0,0.0436,0.4027,0.0,0.6327,0.3347,0.4528,0.1298,0.1241,6.58,0.4026,0.396,0.4011,0.0388,0.0211,0.3357,0.1689,0.1035
complement,High automation / high adaptation,10,USA,United States,0.18,0.8173,0.88,0.97,0.5053,0.3624,0.4604,0.8493,0.8272,0.5544,0.1239,0.3513,0.22,0.7673,0.0034,0.0979,0.3104,0.496,0.0784,0.6759,0.7428,0.428,0.3252,0.5107,0.2991,0.4669,0.055,grievance,1,0.2842,0.2526,0.3313,0.2002,0.3335,0.135,0.1306,0.2685,0.0821,0.0019,gray_zone,0.0699,0.0723,0.0099,0.0682,0.6752,0.0026,0.7659,0.3668,0.5307,0.1042,0.322,7.31,0.4566,0.6796,0.298,0.0363,0.0267,0.5834,0.1565,0.1716
complement,High automation / high adaptation,10,CHN,China,0.18,0.6748,0.7,0.78,0.4606,0.4659,0.4252,0.8474,0.7886,0.5949,0.4822,0.5564,0.3,0.4531,0.03,0.1942,0.3079,0.5477,0.0857,0.7224,0.6671,0.4469,0.383,0.4135,0.4139,0.5045,0.0474,stable,0,0.3086,0.2372,0.358,0.2489,0.3599,0.2439,0.3799,0.5696,0.1937,0.0458,proxy,0.0691,0.0658,0.01,0.063,0.6437,0.0144,0.6814,0.4437,0.4373,0.1197,0.328,5.45,0.576,0.7306,0.1875,0.0342,0.0303,0.6129,0.2634,0.1595
complement,High automation / high adaptation,10,EU,European Union,0.16,0.4442,0.8,0.84,0.6815,0.5404,0.4727,0.8002,0.749,0.4451,0.1852,0.2751,0.23,0.798,0.0141,0.0508,0.3118,0.5088,0.0,0.5972,0.7151,0.3893,0.2672,0.5001,0.2851,0.3502,0.12,protest,2,0.2426,0.233,0.285,0.167,0.297,0.0,0.0,0.0,0.0,0.0,none,0.0822,0.0839,0.0081,0.0621,0.5747,0.0117,0.7272,0.3549,0.51,0.2038,0.0675,8.26,0.3551,0.5839,0.2665,0.0445,0.024,0.447,0.1409,0.1911
complement,High automation / high adaptation,10,JPN,Japan,0.07,0.2157,0.42,0.88,0.6797,0.6175,0.4683,0.7741,0.7492,0.4269,0.1463,0.2325,0.18,0.8181,0.0553,0.07,0.3093,0.5623,0.0,0.5744,0.7129,0.3891,0.2415,0.5128,0.2714,0.3009,0.02,stable,0,0.2313,0.2185,0.2688,0.1442,0.2647,0.0,0.0,0.0,0.0,0.0,none,0.0834,0.0857,0.0073,0.0612,0.5727,0.0248,0.6736,0.3414,0.4788,0.2989,0.0694,7.98,0.3694,0.5543,0.2594,0.05,0.0263,0.4034,0.1836,0.1997
complement,High automation / high adaptation,10,IND,India,0.19,0.4417,0.65,0.63,0.4763,0.514,0.3343,0.4954,0.6727,0.6133,0.1,0.3898,0.42,0.6233,0.0,0.0822,0.2831,0.5777,0.1232,0.5292,0.4806,0.4601,0.3961,0.4302,0.4575,0.4135,0.02,stable,0,0.3202,0.2669,0.3736,0.2572,0.3735,0.0,0.0,0.0,0.0,0.0,none,0.0576,0.0601,0.0,0.0527,0.5549,0.0,0.5929,0.3927,0.4003,0.2321,0.1963,6.06,0.5097,0.5339,0.3099,0.0407,0.032,0.4615,0.2771,0.1182
complement,High automation / high adaptation,10,SAU,Saudi Arabia,0.03,0.96,0.28,0.58,0.4607,0.5179,0.5674,0.7685,0.5145,0.4334,0.18,0.4442,0.43,0.6098,0.0,0.0967,0.3027,0.5469,0.0065,0.6089,0.6798,0.3453,0.3215,0.3318,0.3288,0.4007,0.055,grievance,1,0.2403,0.1984,0.2797,0.1932,0.3101,0.0,0.0,0.0,0.0,0.0,none,0.0663,0.0665,0.0069,0.04,0.3748,0.0,0.6496,0.3469,0.4592,0.3149,0.0538,6.88,0.4162,0.6078,0.1247,0.0362,0.0112,0.4705,0.1165,0.1728
complement,High automation / high adaptation,10,RUS,Russia,0.04,0.88,0.74,0.52,0.2872,0.3755,0.2042,0.6055,0.5376,0.6129,0.8694,0.7859,0.26,0.2315,0.0057,0.2176,0.2895,0.5496,0.1512,0.6264,0.2976,0.4605,0.5685,0.2847,0.6925,0.6312,0.085,grievance,1,0.3863,0.2734,0.4784,0.3637,0.472,0.4349,0.2807,0.3647,0.2959,0.0141,proxy,0.0465,0.0426,0.0019,0.0433,0.4466,0.0048,0.5704,0.5202,0.3391,0.2995,0.2504,3.69,0.6983,0.6477,0.2682,0.0215,0.0406,0.6167,0.363,0.0852
complement,High automation / high adaptation,10,BRA,Brazil,0.05,0.79,0.86,0.54,0.4013,0.4626,0.3973,0.4881,0.5605,0.5649,0.08,0.3626,0.47,0.4535,0.0,0.051,0.2788,0.5257,0.1158,0.4031,0.4432,0.4184,0.4088,0.3901,0.4643,0.4207,0.0262,stable,0,0.3165,0.263,0.3829,0.2484,0.3675,0.0,0.0,0.0,0.0,0.0,none,0.0524,0.0528,0.0,0.0436,0.4554,0.0,0.632,0.3518,0.4446,0.1286,0.1593,6.36,0.4313,0.3964,0.4144,0.031,0.0244,0.3429,0.2727,0.0973
