code,s_low_adaptation,s_high_adaptation,delta_s,delta_horizon,delta_support_needed,delta_war_burden,delta_domestic_burden
BRA,0.1749,0.2307,0.0558,1.46,0.0,-0.0122,0.0
CHN,0.2391,0.2548,0.0157,0.8,0.0,0.0277,0.0
EU,0.2646,0.2959,0.0313,1.08,-0.1362,0.0691,0.065
IND,0.1664,0.2476,0.0812,2.17,-0.0572,-0.1087,-0.07
JPN,0.1796,0.2101,0.0305,1.56,0.0,0.0164,0.065
RUS,0.1474,0.1887,0.0413,0.25,0.0,-0.1526,0.035
SAU,0.2917,0.2496,-0.0421,0.2,0.0112,0.014,0.135
USA,0.2956,0.2966,0.001,0.71,-0.076,-0.0516,0.035
