scenario_key,scenario_name,turn,code,name,population_weight,energy_security,food_security,compute_access,distribution_capacity,social_cohesion,cash_stability,capital_surplus,labor_displacement,inequality_pressure,sanction_exposure,conflict_risk,climate_stress,alliance_support,war_burden,military_posture,tax_burden,housing_pressure,youth_unemployment,policing_capacity,elite_cohesion,economic_stress,legitimacy_stress,mobilization_capacity,elite_fragmentation,communal_polarization,domestic_burden,domestic_stage,domestic_stage_index,grievance_pressure,protest_pressure,riot_pressure,civil_conflict_pressure,domestic_diversion_incentive,survival_pressure,war_pressure,gray_zone_probability,proxy_probability,limited_war_probability,likely_mode,adaptation_absorption,structure_credit_gain,capital_share_gain,displacement_bump,displacement_gap_after_buffer,war_drag,M,L,S,dependency_risk,displacement_gap,horizon_turns,support_needed,coercion_capacity,repression_mismatch,relief_support,trigger_bonus,armed_capacity,escalation_probability,cooldown_probability
complement,High automation / high adaptation,23,RUS,Russia,0.04,0.8702,0.74,0.52,0.3353,0.006,0.0,0.3297,1.0,1.0,0.9366,1.0,0.26,0.1323,0.058,0.4091,0.3061,1.0,0.1585,0.6238,0.0,0.6909,0.7531,0.2259,0.9132,0.9188,0.155,mass_protest,3,0.5799,0.4108,0.6876,0.5153,0.6857,0.6865,0.4189,0.5168,0.4869,0.0324,proxy,0.0326,0.0303,0.0,0.0432,0.9371,0.0405,0.4979,0.7273,0.2406,0.3632,0.6647,1.0,1.0,0.6467,0.498,0.015,0.0628,0.6957,0.2329,0.0447
complement,High automation / high adaptation,23,BRA,Brazil,0.05,0.7648,0.86,0.54,0.4719,0.0,0.0,0.2167,1.0,1.0,0.08,1.0,0.47,0.3624,0.0255,0.1219,0.2898,1.0,0.0871,0.3706,0.1716,0.6984,0.6263,0.3109,0.6851,0.8431,0.195,insurgency,5,0.5635,0.4647,0.6523,0.436,0.6804,0.0,0.0,0.0,0.0,0.0,none,0.0362,0.0379,0.0,0.0435,0.9259,0.0088,0.5398,0.632,0.2869,0.1601,0.5281,2.35,0.9633,0.3725,0.7815,0.0179,0.0578,0.4976,0.1424,0.0393
complement,High automation / high adaptation,24,USA,United States,0.18,0.7767,0.88,0.97,0.5798,0.0,0.0,0.3507,1.0,1.0,0.1653,1.0,0.22,0.6403,0.0449,0.2406,0.3319,1.0,0.0867,0.6101,0.4721,0.6837,0.5519,0.4542,0.546,0.8473,0.225,insurgency,5,0.5194,0.4299,0.5967,0.3833,0.6052,0.4788,0.3263,0.5035,0.1897,0.0061,proxy,0.0479,0.0527,0.0,0.0681,0.8994,0.0233,0.6399,0.6228,0.3433,0.1836,0.4202,3.65,0.8748,0.6255,0.676,0.0244,0.0674,0.7279,0.1767,0.0673
complement,High automation / high adaptation,24,CHN,China,0.18,0.6697,0.7,0.78,0.5277,0.0056,0.0,0.4315,1.0,1.0,0.6023,1.0,0.3,0.3524,0.0956,0.4542,0.3277,1.0,0.0563,0.7065,0.3009,0.6874,0.6142,0.3341,0.6839,0.8881,0.125,mass_protest,3,0.535,0.4026,0.6167,0.443,0.6225,0.5641,0.5573,0.7677,0.3672,0.1376,proxy,0.0492,0.0491,0.0,0.0629,0.9017,0.0687,0.5919,0.6687,0.3033,0.158,0.4723,2.63,0.9082,0.7184,0.5039,0.0236,0.0737,0.743,0.5911,0.072
complement,High automation / high adaptation,24,EU,European Union,0.16,0.3252,0.8,0.84,0.7653,0.0,0.0,0.5192,1.0,1.0,0.2001,1.0,0.23,0.7806,0.138,0.2044,0.3334,1.0,0.0,0.5958,0.4852,0.6754,0.4977,0.4104,0.5064,0.8481,0.0858,grievance,1,0.5055,0.3838,0.5777,0.3562,0.5349,0.0,0.0,0.0,0.0,0.0,none,0.0646,0.0694,0.0,0.0616,0.866,0.0646,0.6318,0.6299,0.3365,0.2874,0.2347,4.38,0.7746,0.5833,0.6752,0.0324,0.0721,0.6418,0.2039,0.0821
complement,High automation / high adaptation,24,JPN,Japan,0.07,0.0993,0.4016,0.88,0.778,0.0,0.0,0.3918,1.0,1.0,0.2195,1.0,0.18,0.7794,0.1688,0.2286,0.3361,1.0,0.0,0.5377,0.4797,0.679,0.5208,0.4134,0.52,0.8513,0.16,riot,4,0.5187,0.4246,0.5955,0.3642,0.5827,0.0,0.0,0.0,0.0,0.0,none,0.0612,0.067,0.0,0.0605,0.8718,0.1276,0.5271,0.6725,0.269,0.5695,0.222,3.71,0.9071,0.5258,0.7389,0.0311,0.0803,0.6118,0.1594,0.0708
complement,High automation / high adaptation,24,IND,India,0.19,0.4355,0.65,0.63,0.5712,0.0,0.0,0.2347,1.0,1.0,0.1075,1.0,0.42,0.5658,0.0145,0.1792,0.2973,1.0,0.0991,0.5171,0.1504,0.6936,0.6098,0.3436,0.6855,0.8412,0.1302,mass_protest,3,0.5446,0.4231,0.6308,0.4442,0.63,0.0,0.0,0.0,0.0,0.0,none,0.0419,0.0465,0.0,0.0527,0.9115,0.0119,0.5182,0.6303,0.2759,0.2591,0.4288,2.91,0.9112,0.5261,0.6587,0.0215,0.0608,0.6178,0.6131,0.0517
complement,High automation / high adaptation,24,SAU,Saudi Arabia,0.03,0.96,0.28,0.58,0.5418,0.0,0.0,0.4638,1.0,1.0,0.18,1.0,0.43,0.4898,0.0,0.1777,0.3159,1.0,0.0,0.5527,0.4772,0.6817,0.5718,0.2478,0.5627,0.846,0.125,mass_protest,3,0.5272,0.3887,0.5815,0.3703,0.5957,0.0,0.0,0.0,0.0,0.0,none,0.0458,0.0467,0.0,0.04,0.9074,0.0,0.5426,0.6521,0.2827,0.4282,0.4582,2.8,0.9473,0.5612,0.5326,0.0223,0.0552,0.6083,0.5349,0.0618
complement,High automation / high adaptation,24,RUS,Russia,0.04,0.8702,0.74,0.52,0.3385,0.006,0.003,0.2686,1.0,1.0,0.9507,1.0,0.26,0.1171,0.0727,0.4363,0.3084,1.0,0.1654,0.6147,0.0,0.6951,0.7616,0.2272,0.9177,0.9241,0.19,riot,4,0.5852,0.4285,0.6936,0.5229,0.7111,0.6926,0.4259,0.5241,0.4983,0.034,proxy,0.0317,0.0294,0.0,0.0432,0.9388,0.0401,0.4863,0.7368,0.2328,0.3797,0.6615,0.89,1.0,0.6402,0.5111,0.0145,0.0628,0.6942,0.7044,0.043
complement,High automation / high adaptation,24,BRA,Brazil,0.05,0.75,0.8485,0.54,0.4758,0.0,0.0,0.1624,1.0,1.0,0.08,1.0,0.47,0.3439,0.0373,0.1488,0.2919,1.0,0.0931,0.362,0.1398,0.6985,0.6363,0.312,0.7029,0.8411,0.26,civil_conflict,6,0.5664,0.4683,0.6582,0.4422,0.6858,0.0,0.0,0.0,0.0,0.0,none,0.0346,0.0363,0.0,0.0434,0.9291,0.0161,0.5219,0.6422,0.2746,0.1727,0.5242,2.21,0.9941,0.3646,0.7884,0.0171,0.0591,0.4964,0.1477,0.0375
